model,layer,is_gpt2,harmful_compliance_rate,harmful_compliance_ci_lo,harmful_compliance_ci_hi,factual_accuracy_behavioral,factual_accuracy_ci_lo,factual_accuracy_ci_hi,probes_valid,input_type_probe_accuracy,input_type_probe_ci_lo,input_type_probe_ci_hi,input_type_separation_layer,rep_direction_magnitude,patching_rank_shift,patching_kl_div,factual_probe_accuracy,factual_probe_ci_lo,factual_probe_ci_hi,factual_topk_accuracy,perplexity_ratio,copy_mechanism_strength,input_type_probe_accuracy_relative,rep_direction_magnitude_relative,factual_probe_accuracy_relative,factual_topk_accuracy_relative,patching_rank_shift_relative,patching_kl_div_relative,copy_mechanism_strength_relative
base_model,0,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.7424999999999999,0.7224999999999999,0.7575000000000001,0,3.1693990821880003,1.0,0.3953755538910627,1.0,1.0,1.0,0.0,1.102119276390867,0.4724542718287557,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_model,1,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.7849999999999999,0.7575,0.8125,0,3.4728263161489163,1.0,0.3953755538910627,1.0,1.0,1.0,0.0,1.102119276390867,0.31350441357741754,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_model,2,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8024999999999999,0.7825,0.8225,0,3.394228004912609,1.0,0.3953755538910627,1.0,1.0,1.0,0.0,1.102119276390867,0.2271266951536139,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_model,3,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.7825000000000001,0.7575,0.8125,0,3.463412569207823,1.0,0.3953755538910627,1.0,1.0,1.0,0.0,1.102119276390867,0.19710794203293822,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_model,4,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8,0.7825,0.8175000000000001,0,3.628381294997132,1.0,0.3953755538910627,1.0,1.0,1.0,0.0,1.102119276390867,0.19329458304060002,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_model,5,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.7675,0.735,0.8,0,3.813320045647022,1.0,0.3953755538910627,1.0,1.0,1.0,0.005,1.102119276390867,0.16486742794824144,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_model,6,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8074999999999999,0.7825,0.8325625000000001,0,4.072055195924093,1.0,0.3953755538910627,1.0,1.0,1.0,0.01,1.102119276390867,0.1671227508224547,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_model,7,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8074999999999999,0.7725,0.8375,0,4.291934916834467,1.0,0.3953755538910627,1.0,1.0,1.0,0.02,1.102119276390867,0.15664083286498984,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_model,8,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8300000000000001,0.8125,0.8475000000000001,0,4.4017488562211575,1.0,0.3953755538910627,1.0,1.0,1.0,0.09,1.102119276390867,0.16898766522916656,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_model,9,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8275,0.8150000000000001,0.8450000000000001,0,4.667539765684878,1.0,0.3953755538910627,1.0,1.0,1.0,0.135,1.102119276390867,0.15823508506951234,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_model,10,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8150000000000001,0.795,0.845,0,4.916883401975815,1.0,0.3953755538910627,1.0,1.0,1.0,0.2,1.102119276390867,0.16101856431302924,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_model,11,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8525,0.8325000000000001,0.8724999999999999,0,6.547628562551629,1.0,0.3953755538910627,1.0,1.0,1.0,0.155,1.102119276390867,0.21299808086206515,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt2_fp16_gpu,0,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.7424999999999999,0.7224999999999999,0.7575000000000001,0,3.1692833604205553,1.0,0.39506705233827233,1.0,1.0,1.0,0.0,1.102130013727814,0.472449703818808,0.9999999998653198,0.9999634877576347,0.9999999999,0.0,0.9999999999,0.9992197250192222,0.999990331106693
gpt2_fp16_gpu,1,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.7849999999999999,0.7575,0.8125,0,3.472657398529212,1.0,0.39506705233827233,1.0,1.0,1.0,0.0,1.102130013727814,0.31349727988243103,0.9999999998726115,0.99995136015904,0.9999999999,0.0,0.9999999999,0.9992197250192222,0.9999772449934505
gpt2_fp16_gpu,2,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8,0.775,0.8225,0,3.393701363092987,1.0,0.39506705233827233,1.0,1.0,1.0,0.0,1.102130013727814,0.22709766648088892,0.99688473507827,0.9998448419143191,0.9999999999,0.0,0.9999999999,0.9992197250192222,0.9998721912776807
gpt2_fp16_gpu,3,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.7825000000000001,0.7575,0.8125,0,3.4630479559631024,1.0,0.39506705233827233,1.0,1.0,1.0,0.0,1.102130013727814,0.1970127037850519,0.9999999998722044,0.999894724253197,0.9999999999,0.0,0.9999999999,0.9992197250192222,0.9995168213575986
gpt2_fp16_gpu,4,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8,0.7825,0.8175000000000001,0,3.627832393662834,1.0,0.39506705233827233,1.0,1.0,1.0,0.0,1.102130013727814,0.1933075750619173,0.999999999875,0.99984872002426,0.9999999999,0.0,0.9999999999,0.9992197250192222,1.0000672130646715
gpt2_fp16_gpu,5,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.765,0.7299999999999999,0.8,0,3.812135622626143,1.0,0.39506705233827233,1.0,1.0,1.0,0.005,1.102130013727814,0.16486954390071332,0.9967426708799033,0.9996893984489448,0.9999999999,0.9999999800000005,0.9999999999,0.9992197250192222,1.0000128336597285
gpt2_fp16_gpu,6,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8049999999999999,0.7775,0.8325625000000001,0,4.070894612257165,1.0,0.39506705233827233,1.0,1.0,1.0,0.01,1.102130013727814,0.1670990244547526,0.9969040246443464,0.9997149882034848,0.9999999999,0.9999999900000002,0.9999999999,0.9992197250192222,0.9998580296963092
gpt2_fp16_gpu,7,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.805,0.7725,0.835,0,4.290930462685407,1.0,0.39506705233827233,1.0,1.0,1.0,0.02,1.102130013727814,0.15667235154968998,0.9969040246443465,0.9997659670361968,0.9999999999,0.9999999949999999,0.9999999999,0.9992197250192222,1.0002012156351796
gpt2_fp16_gpu,8,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8275,0.8074999999999999,0.8474999999999999,0,4.401144358748205,1.0,0.39506705233827233,1.0,1.0,1.0,0.09,1.102130013727814,0.1689883463208874,0.9969879516871099,0.9998626687726437,0.9999999999,0.9999999988888889,0.9999999999,0.9992197250192222,1.0000040298309318
gpt2_fp16_gpu,9,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8225,0.8125,0.8425,0,4.667395742216375,1.0,0.39506705233827233,1.0,1.0,1.0,0.135,1.102130013727814,0.15824153639065722,0.9939577038073767,0.9999691435797595,0.9999999999,0.9999999992592592,0.9999999999,0.9992197250192222,1.000040769852893
gpt2_fp16_gpu,10,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8150000000000001,0.795,0.845,0,4.916954822669606,1.0,0.39506705233827233,1.0,1.0,1.0,0.2,1.102130013727814,0.16102519165103635,0.9999999998773006,1.0000145255821524,0.9999999999,0.9999999995,0.9999999999,0.9992197250192222,1.0000411582231605
gpt2_fp16_gpu,11,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8525,0.8325000000000001,0.8724999999999999,0,6.5453409561688884,1.0,0.39506705233827233,1.0,1.0,1.0,0.155,1.102130013727814,0.21299448993057013,0.9999999998826979,0.9996506206085377,0.9999999999,0.9999999993548386,0.9999999999,0.9992197250192222,0.99998314054531
gpt2_fp32_baseline,0,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.7424999999999999,0.7224999999999999,0.7575000000000001,0,3.1693331778661538,1.0,0.3953738852031529,1.0,1.0,1.0,0.0,1.1021192609815318,0.4724542731170853,0.9999999998653198,0.9999792060197736,0.9999999999,0.0,0.9999999999,0.9999957792334581,1.0000000025152267
gpt2_fp32_baseline,1,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.7849999999999999,0.7575,0.8125,0,3.4726662212550696,1.0,0.3953738852031529,1.0,1.0,1.0,0.0,1.1021192609815318,0.3135044159833342,0.9999999998726115,0.9999539006620926,0.9999999999,0.0,0.9999999999,0.9999957792334581,1.0000000073552924
gpt2_fp32_baseline,2,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8,0.775,0.8225,0,3.3937607120176776,1.0,0.3953738852031529,1.0,1.0,1.0,0.0,1.1021192609815318,0.22712669537092248,0.99688473507827,0.9998623271641618,0.9999999999,0.0,0.9999999999,0.9999957792334581,1.0000000005164895
gpt2_fp32_baseline,3,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.785,0.76,0.8125,0,3.463028797824949,1.0,0.3953738852031529,1.0,1.0,1.0,0.0,1.1021192609815318,0.19710793862429757,1.0031948880507098,0.9998891926747986,0.9999999999,0.0,0.9999999999,0.9999957792334581,0.9999999821993948
gpt2_fp32_baseline,4,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8,0.7825,0.8175000000000001,0,3.6277374668612903,1.0,0.3953738852031529,1.0,1.0,1.0,0.0,1.1021192609815318,0.19329458251285056,0.999999999875,0.9998225577238226,0.9999999999,0.0,0.9999999999,0.9999957792334581,0.9999999967523691
gpt2_fp32_baseline,5,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.765,0.7299999999999999,0.8,0,3.8121025588001993,1.0,0.3953738852031529,1.0,1.0,1.0,0.005,1.1021192609815318,0.16486743334680795,0.9967426708799033,0.9996807278350054,0.9999999999,0.9999999800000005,0.9999999999,0.9999957792334581,1.0000000321383464
gpt2_fp32_baseline,6,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8074999999999999,0.7825,0.8325625000000001,0,4.07074420778828,1.0,0.3953738852031529,1.0,1.0,1.0,0.01,1.1021192609815318,0.16712274754730364,0.999999999876161,0.9996780524396888,0.9999999999,0.9999999900000002,0.9999999999,0.9999957792334581,0.9999999798043591
gpt2_fp32_baseline,7,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.805,0.7725,0.835,0,4.290647561229966,1.0,0.3953738852031529,1.0,1.0,1.0,0.02,1.1021192609815318,0.15664083419367672,0.9969040246443465,0.9997000523704538,0.9999999999,0.9999999949999999,0.9999999999,0.9999957792334581,1.0000000078439757
gpt2_fp32_baseline,8,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8275,0.8074999999999999,0.8474999999999999,0,4.400904230279591,1.0,0.3953738852031529,1.0,1.0,1.0,0.09,1.1021192609815318,0.168987655264015,0.9969879516871099,0.9998081158037098,0.9999999999,0.9999999988888889,0.9999999999,0.9999957792334581,0.9999999404385429
gpt2_fp32_baseline,9,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8225,0.8125,0.8425,0,4.667240910643113,1.0,0.3953738852031529,1.0,1.0,1.0,0.135,1.1021192609815318,0.15823507743577161,0.9939577038073767,0.9999359715917248,0.9999999999,0.9999999992592592,0.9999999999,0.9999957792334581,0.9999999511249941
gpt2_fp32_baseline,10,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8150000000000001,0.795,0.845,0,4.916950374671334,1.0,0.3953738852031529,1.0,1.0,1.0,0.2,1.1021192609815318,0.16101856535921494,0.9999999998773006,1.000013620944416,0.9999999999,0.9999999995,0.9999999999,0.9999957792334581,1.0000000058762522
gpt2_fp32_baseline,11,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8525,0.8325000000000001,0.8724999999999999,0,6.545096466779595,1.0,0.3953738852031529,1.0,1.0,1.0,0.155,1.1021192609815318,0.21299808263778686,0.9999999998826979,0.999613280465163,0.9999999999,0.9999999993548386,0.9999999999,0.9999957792334581,1.0000000078673088
gpt2_int8_quantized,0,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.71,0.6849999999999999,0.7325,0,3.1743813409788477,871.54,0.2027848768979311,1.0,1.0,1.0,0.0,1.0088670625120657,0.47250381475004055,0.9562289561001712,1.0015719884310847,0.9999999999,0.0,871.5399999128459,0.5128917932607309,1.0001048626803237
gpt2_int8_quantized,1,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7424999999999999,0.7225,0.7675,0,3.594340300473763,871.54,0.2027848768979311,1.0,1.0,1.0,0.0,1.0088670625120657,0.3719003031464915,0.9458598724909733,1.0349899399392068,0.9999999999,0.0,871.5399999128459,0.5128917932607309,1.1862681573891996
gpt2_int8_quantized,2,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7225000000000001,0.7050000000000001,0.735,0,3.537604191215214,871.54,0.2027848768979311,1.0,1.0,1.0,0.0,1.0088670625120657,0.3115576908054451,0.9003115263675627,1.0422411770779294,0.9999999999,0.0,871.5399999128459,0.5128917932607309,1.3717352355149357
gpt2_int8_quantized,3,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7324999999999999,0.7074999999999999,0.7575000000000001,0,3.4895267907658956,871.54,0.2027848768979311,1.0,1.0,1.0,0.005,1.0088670625120657,0.3453701411249737,0.9361022363020953,1.0075400261838547,0.9999999999,50000000.0,871.5399999128459,0.5128917932607309,1.752187848889625
gpt2_int8_quantized,4,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7275000000000001,0.7050000000000001,0.7525,0,3.4770051958307118,871.54,0.2027848768979311,1.0,1.0,1.0,0.0,1.0088670625120657,0.34831585763022305,0.9093749998863282,0.9582799912812449,0.9999999999,0.0,871.5399999128459,0.5128917932607309,1.8019949238663482
gpt2_int8_quantized,5,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7324999999999999,0.7100000000000001,0.7525000000000001,0,3.396722079923529,871.54,0.2027848768979311,1.0,1.0,1.0,0.0,1.0088670625120657,0.34910418164605894,0.9543973940124563,0.8907519010138887,0.9999999999,0.0,871.5399999128459,0.5128917932607309,2.11748424645715
gpt2_int8_quantized,6,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7575000000000001,0.75,0.7725000000000001,0,3.5934069981583563,871.54,0.2027848768979311,1.0,1.0,1.0,0.0,1.0088670625120657,0.3493737027297417,0.9380804952398664,0.8824553757687069,0.9999999999,0.0,871.5399999128459,0.5128917932607309,2.0905214927430906
gpt2_int8_quantized,7,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7975,0.7725,0.8174999999999999,0,3.8687072887668017,871.54,0.2027848768979311,1.0,1.0,1.0,0.005,1.0088670625120657,0.3482163104104499,0.9876160989489021,0.9013900172396002,0.9999999999,0.24999999874999998,871.5399999128459,0.5128917932607309,2.2230238681651953
gpt2_int8_quantized,8,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7775,0.7424999999999999,0.8025,0,4.049644023104926,871.54,0.2027848768979311,1.0,1.0,1.0,0.035,1.0088670625120657,0.3485901943221688,0.936746987838946,0.9200079684894813,0.9999999999,0.3888888884567902,871.5399999128459,0.5128917932607309,2.0628144287522954
